edge_key	edge	seed	target_region	n	residual_df	interaction_beta	interaction_standardized_beta	interaction_se	interaction_ci95_low	interaction_ci95_high	interaction_t	interaction_partial_r	interaction_p_uncorrected	interaction_hc3_se	interaction_hc3_ci95_low	interaction_hc3_ci95_high	interaction_hc3_t	interaction_hc3_p	interaction_delta_r_squared	interaction_partial_f	interaction_partial_f_df	interaction_partial_f_p	r_squared	adjusted_r_squared	model_f	model_f_p	interaction_vif	max_predictor_vif	shapiro_residual_p	breusch_pagan_p	max_cooks_d	n_cooks_d_gt_4_over_n	formula	interaction_q_BH_FDR_12	interaction_hc3_q_BH_FDR_12	interaction_significant_uncorrected	interaction_significant_BH_FDR_12	interaction_hc3_significant_BH_FDR_12
hippocampus_to_ofc_medial_r	bilateral mean hippocampus to right medial OFC	hippocampus	ofc_medial_r	72	62	0.427895369982	0.129590153997	0.30805583324	-0.18789946632	1.04369020628	1.38901888493	0.173723242318	0.169796258473	0.498880602111	-0.569352744038	1.425143484	0.857710979684	0.394355603871	0.0104825023154	1.92937346268	1	0.169796258473	0.663147049484	0.614249040538	13.561841551	1.02482061692e-11	1.60206098771	1.60206098771	0.807824098289	9.07925131376e-05	1.25251116517	9	MOCA_2 ~ MOCA_1 + UCLA_LS_1 + delta_UCLA_LS + KLDS_1 + delta_UCLA_LS*KLDS_1 + age_1 + sex + education_1 + FollowupInterval	0.226395011297	0.525807471828	False	False	False
hippocampus_to_ofc_anterior_r	bilateral mean hippocampus to right anterior OFC	hippocampus	ofc_anterior_r	72	62	1.19453120258	0.198064042197	0.632579019852	-0.0699762403733	2.45903864554	1.88835096501	0.233208192269	0.0636596260798	1.22477593208	-1.2537610004	3.64282340557	0.975305908038	0.333198641357	0.0188192631102	3.56586936706	1	0.0636596260798	0.672788262069	0.625289783982	14.1644172439	4.37103909892e-12	2.08453245919	2.08453245919	0.700250606006	0.000421382081429	1.31646405849	9	MOCA_2 ~ MOCA_1 + UCLA_LS_1 + delta_UCLA_LS + KLDS_1 + delta_UCLA_LS*KLDS_1 + age_1 + sex + education_1 + FollowupInterval	0.0954894391197	0.501661764751	False	False	False
hippocampus_to_ofc_posterior_r	bilateral mean hippocampus to right posterior OFC	hippocampus	ofc_posterior_r	72	62	0.69141126795	0.0722185373307	0.847777607852	-1.00327202292	2.38609455882	0.815557360264	0.10302473968	0.417875482595	1.71960613378	-2.74603241399	4.12885494989	0.402075367358	0.689011347835	0.00367747039369	0.665133807881	1	0.417875482595	0.657207073664	0.607446810163	13.2074677148	1.70989135824e-11	1.41823497563	1.5377804906	0.414122294272	0.00013014916382	1.17835513461	8	MOCA_2 ~ MOCA_1 + UCLA_LS_1 + delta_UCLA_LS + KLDS_1 + delta_UCLA_LS*KLDS_1 + age_1 + sex + education_1 + FollowupInterval	0.455864162831	0.689011347835	False	False	False
hippocampus_to_insula_r	bilateral mean hippocampus to right insula	hippocampus	insula_r	72	62	0.543087904603	0.250572352585	0.191212532071	0.160859499294	0.925316309911	2.84023175009	0.339310481555	0.00609050842118	0.493814433109	-0.444033081882	1.53020889109	1.09978135144	0.275679416102	0.039622098973	8.06691639424	1	0.00609050842118	0.69547593947	0.65127083391	15.7329324441	5.2629097556e-13	1.58463346232	1.58463346232	0.517358473019	0.0154659658108	1.81948806086	8	MOCA_2 ~ MOCA_1 + UCLA_LS_1 + delta_UCLA_LS + KLDS_1 + delta_UCLA_LS*KLDS_1 + age_1 + sex + education_1 + FollowupInterval	0.0146172202108	0.501661764751	True	True	False
amygdala_to_ofc_medial_r	bilateral mean amygdala to right medial OFC	amygdala	ofc_medial_r	72	62	3.71158451029	0.457018316118	0.99996119744	1.71269055847	5.71047846211	3.71172853486	0.426390682706	0.000442727752627	1.33820845182	1.03654393125	6.38662508933	2.77354735373	0.00731558293574	0.05781352872	13.7769287165	1	0.000442727752627	0.73982308725	0.702055470883	19.5888212817	4.92138415932e-15	3.61274853641	3.61274853641	0.257619615102	0.0363658582667	0.325123051708	8	MOCA_2 ~ MOCA_1 + UCLA_LS_1 + delta_UCLA_LS + KLDS_1 + delta_UCLA_LS*KLDS_1 + age_1 + sex + education_1 + FollowupInterval	0.00177091101051	0.0438934976144	True	True	True
amygdala_to_ofc_anterior_r	bilateral mean amygdala to right anterior OFC	amygdala	ofc_anterior_r	72	62	16.4782762803	0.801299872709	3.63144704304	9.21911707568	23.737435485	4.53766118162	0.499306663067	2.66962022063e-05	5.50467927139	5.47457920641	27.4819733542	2.99350343007	0.00395721353729	0.0860034953436	20.5903689992	1	2.66962022063e-05	0.741033455422	0.703441537661	19.7125738604	4.28240505312e-15	7.46576035587	7.46576035587	0.288737710886	0.0858047428449	0.35548064775	8	MOCA_2 ~ MOCA_1 + UCLA_LS_1 + delta_UCLA_LS + KLDS_1 + delta_UCLA_LS*KLDS_1 + age_1 + sex + education_1 + FollowupInterval	0.000160177213238	0.0438934976144	True	True	True
amygdala_to_ofc_posterior_r	bilateral mean amygdala to right posterior OFC	amygdala	ofc_posterior_r	72	62	63.2712299017	0.342254242633	17.9096739916	27.4703017132	99.0721580903	3.53279629386	0.409351954252	0.000782968094497	65.0414544172	-66.7447849047	193.287244708	0.97278313452	0.334441176501	0.0537650580855	12.4806496539	1	0.000782968094497	0.732911852048	0.694140991862	18.9036778787	1.07497119763e-14	2.1787006426	2.1787006426	0.296850550651	0.0843780174923	3.0617426139	7	MOCA_2 ~ MOCA_1 + UCLA_LS_1 + delta_UCLA_LS + KLDS_1 + delta_UCLA_LS*KLDS_1 + age_1 + sex + education_1 + FollowupInterval	0.00234890428349	0.501661764751	True	True	False
amygdala_to_insula_r	bilateral mean amygdala to right insula	amygdala	insula_r	72	62	1.76416416491	0.460980676338	0.386630830118	0.991300147897	2.53702818192	4.56291642436	0.50138849029	2.44014217121e-05	0.691180201503	0.382514628969	3.14581370085	2.55239395034	0.0131758884749	0.0863244969183	20.8202062957	1	2.44014217121e-05	0.742936321911	0.705620626705	19.9094862845	3.43659331852e-15	2.46167879968	2.46167879968	0.219820090146	0.0468851217624	0.594036231483	9	MOCA_2 ~ MOCA_1 + UCLA_LS_1 + delta_UCLA_LS + KLDS_1 + delta_UCLA_LS*KLDS_1 + age_1 + sex + education_1 + FollowupInterval	0.000160177213238	0.0527035538994	True	True	False
dmpfc_to_ofc_medial_r	bilateral mean DMPFC to right medial OFC	dmpfc	ofc_medial_r	72	62	-0.105743173356	-0.0565964454461	0.143972999181	-0.393541097941	0.182054751229	-0.734465309173	-0.092874031109	0.465434016796	0.211971422635	-0.529468009629	0.317981662917	-0.498855798774	0.619646360079	0.00299600755287	0.539439290379	1	0.465434016797	0.655656398059	0.605671036487	13.116968197	1.95127064257e-11	1.06914204341	1.43088579253	0.190766882727	0.000341796305034	1.21525981637	8	MOCA_2 ~ MOCA_1 + UCLA_LS_1 + delta_UCLA_LS + KLDS_1 + delta_UCLA_LS*KLDS_1 + age_1 + sex + education_1 + FollowupInterval	0.465434016796	0.675977847359	False	False	False
dmpfc_to_ofc_anterior_r	bilateral mean DMPFC to right anterior OFC	dmpfc	ofc_anterior_r	72	62	0.438696834593	0.203943707009	0.182993158453	0.0728987230335	0.804494946153	2.39734008802	0.291262012397	0.0195410022467	0.264934036849	-0.0908987589598	0.968292428146	1.65587192877	0.102801082635	0.0294113154586	5.74723949763	1	0.0195410022467	0.682716970611	0.636659756668	14.8232364087	1.76588772511e-12	1.41418481221	1.47454641656	0.869673159002	0.000318092868094	1.13298638674	10	MOCA_2 ~ MOCA_1 + UCLA_LS_1 + delta_UCLA_LS + KLDS_1 + delta_UCLA_LS*KLDS_1 + age_1 + sex + education_1 + FollowupInterval	0.0334988609944	0.246722598325	True	True	False
